0,7395,32
7395,0,32
0,979,77
979,0,77
0,618,59
618,0,59
0,6099,77
6099,0,77
0,3599,56
3599,0,56
0,1802,33
1802,0,33
0,7751,83
7751,0,83
0,9609,34
9609,0,34
0,6934,25
6934,0,25
0,2246,76
2246,0,76
1,4134,70
4134,1,70
1,7301,28
7301,1,28
1,5427,42
5427,1,42
1,5952,86
5952,1,86
1,5367,72
5367,1,72
1,6660,2
6660,1,2
1,1147,10
1147,1,10
1,9958,42
9958,1,42
1,106,94
106,1,94
1,2485,41
2485,1,41
1,7279,50
7279,1,50
1,8031,88
8031,1,88
1,8393,33
8393,1,33
1,7027,15
7027,1,15
1,43,46
43,1,46
1,2328,76
2328,1,76
1,7268,52
7268,1,52
1,4479,13
4479,1,13
2,6274,80
6274,2,80
2,9743,80
9743,2,80
2,6421,28
6421,2,28
2,4490,13
4490,2,13
2,5572,22
5572,2,22
2,5690,40
5690,2,40
2,1092,96
1092,2,96
2,9407,30
9407,2,30
2,812,36
812,2,36
2,2276,76
2276,2,76
2,8249,90
8249,2,90
2,7172,49
7172,2,49
2,4265,49
4265,2,49
2,3139,39
3139,2,39
3,9482,61
9482,3,61
3,285,16
285,3,16
3,6551,89
6551,3,89
3,3656,7
3656,3,7
3,4844,34
4844,3,34
3,5698,56
5698,3,56
3,970,5
970,3,5
3,7520,44
7520,3,44
3,2584,32
2584,3,32
3,8126,70
8126,3,70
3,9277,50
9277,3,50
3,751,29
751,3,29
3,1235,16
1235,3,16
3,3020,34
3020,3,34
3,1605,59
1605,3,59
3,7997,82
7997,3,82
3,4671,44
4671,3,44
3,4919,30
4919,3,30
3,8705,30
8705,3,30
4,5775,23
5775,4,23
4,6597,67
6597,4,67
4,2169,29
2169,4,29
4,901,9
901,4,9
4,7508,86
7508,4,86
4,4162,91
4162,4,91
4,9542,45
9542,4,45
4,609,50
609,4,50
4,3134,92
3134,4,92
4,8050,39
8050,4,39
4,1610,32
1610,4,32
4,9998,8
9998,4,8
4,4322,34
4322,4,34
4,8921,24
8921,4,24
4,2806,67
2806,4,67
4,1883,22
1883,4,22
4,1375,57
1375,4,57
4,6433,81
6433,4,81
